unit_id,split,is_id_core
BV08TR_0081,train,False
BV08TR_0082,train,True
BV08TR_0083,train,True
BV08TR_0084,train,True
BV08TR_0085,train,True
BV08TR_0086,train,True
BV08TR_0087,train,True
BV08TR_0088,train,True
BV08TR_0089,train,True
BV08TR_0090,train,True
BV08TR_0091,train,False
BV08TR_0092,train,True
BV08TR_0093,train,True
BV08TR_0094,train,False
BV08TR_0095,train,True
BV08TR_0096,train,True
BV08TR_0097,train,True
BV08TR_0098,train,True
BV08TR_0099,train,True
BV08TR_0100,train,True
BV08TR_0101,train,False
BV08TR_0102,train,True
BV08TR_0103,train,False
BV08TR_0104,train,True
BV08TR_0105,train,True
BV08TR_0106,train,True
BV08TR_0107,train,True
BV08TR_0108,train,True
BV08TR_0109,train,True
BV08TR_0110,train,True
BV08TR_0111,train,True
BV08TR_0112,train,True
BV08TR_0113,train,True
BV08TR_0114,train,True
BV08TR_0115,train,True
BV08TR_0116,train,True
BV08TR_0117,train,True
BV08TR_0118,train,True
BV08TR_0119,train,True
BV08TR_0120,train,True
BV08TR_0121,train,False
BV08TR_0122,train,True
BV08TR_0123,train,False
BV08TR_0124,train,True
BV08TR_0125,train,True
BV08TR_0126,train,False
BV08TR_0127,train,True
BV08TR_0128,train,True
BV08TR_0129,train,True
BV08TR_0130,train,True
BV08TR_0131,train,True
BV08TR_0132,train,False
BV08TR_0133,train,True
BV08TR_0134,train,True
BV08TR_0135,train,True
BV08TR_0136,train,True
BV08TR_0137,train,True
BV08TR_0138,train,True
BV08TR_0139,train,False
BV08TR_0140,train,True
BV08TR_0141,train,True
BV08TR_0142,train,True
BV08TR_0143,train,False
BV08TR_0144,train,True
BV08TR_0145,train,True
BV08TR_0146,train,False
BV08TR_0147,train,True
BV08TR_0148,train,True
BV08TR_0149,train,True
BV08TR_0150,train,True
BV08TR_0151,train,True
BV08TR_0152,train,True
BV08TR_0153,train,True
BV08TR_0154,train,True
BV08TR_0155,train,True
BV08TR_0156,train,True
BV08TR_0157,train,True
BV08TR_0158,train,True
BV08TR_0159,train,False
BV08TR_0160,train,False
BV08TR_0161,train,False
BV08TR_0162,train,True
BV08TR_0163,train,True
BV08TR_0164,train,True
BV08TR_0165,train,True
BV08TR_0166,train,False
BV08TR_0167,train,False
BV08TR_0168,train,True
BV08TR_0169,train,True
BV08TR_0170,train,True
BV08TR_0171,train,True
BV08TR_0172,train,True
BV08TR_0173,train,True
BV08TR_0174,train,True
BV08TR_0175,train,True
BV08TR_0176,train,True
BV08TR_0177,train,True
BV08TR_0178,train,True
BV08TR_0179,train,False
BV08TR_0180,train,False
BV08TR_0181,train,True
BV08TR_0182,train,True
BV08TR_0183,train,True
BV08TR_0184,train,True
BV08TR_0185,train,True
BV08TR_0186,train,True
BV08TR_0187,train,True
BV08TR_0188,train,True
BV08TR_0189,train,True
BV08TR_0190,train,True
BV08TR_0191,train,True
BV08TR_0192,train,True
BV08TR_0193,train,False
BV08TR_0194,train,True
BV08TR_0195,train,True
BV08TR_0196,train,True
BV08TR_0197,train,True
BV08TR_0198,train,True
BV08TR_0199,train,True
BV08TR_0200,train,True
BV08TR_0201,train,True
BV08TR_0202,train,True
BV08TR_0203,train,True
BV08TR_0204,train,True
BV08TR_0205,train,True
BV08TR_0206,train,True
BV08TR_0207,train,True
BV08TR_0208,train,True
BV08TR_0209,train,True
BV08TR_0210,train,True
BV08TR_0211,train,True
BV08TR_0212,train,False
BV08TR_0213,train,True
BV08TR_0214,train,False
BV08TR_0215,train,True
BV08TR_0216,train,False
BV08TR_0217,train,True
BV08TR_0218,train,True
BV08TR_0219,train,True
BV08TR_0220,train,True
BV08TR_0221,train,True
BV08TR_0222,train,False
BV08TR_0223,train,True
BV08TR_0224,train,True
BV08TR_0225,train,True
BV08TR_0226,train,True
BV08TR_0227,train,True
BV08TR_0228,train,False
BV08TR_0229,train,True
BV08TR_0230,train,True
BV08TR_0231,train,True
BV08TR_0232,train,True
BV08TR_0233,train,False
BV08TR_0234,train,True
BV08TR_0235,train,True
BV08TR_0236,train,True
BV08TR_0237,train,False
BV08TR_0238,train,False
BV08TR_0239,train,True
BV08TR_0240,train,False
BV08TR_0241,train,False
BV08TR_0242,train,True
BV08TR_0243,train,True
BV08TR_0244,train,True
BV08TR_0245,train,True
BV08TR_0246,train,False
BV08TR_0247,train,True
BV08TR_0248,train,True
BV08TR_0249,train,True
BV08TR_0250,train,True
BV08TR_0251,train,True
BV08TR_0252,train,True
BV08TR_0253,train,False
BV08TR_0254,train,True
BV08TR_0255,train,False
BV08TR_0256,train,True
BV08TR_0257,train,False
BV08TR_0258,train,True
BV08TR_0259,train,True
BV08TR_0260,train,True
BV08TR_0261,train,True
BV08TR_0262,train,True
BV08TR_0263,train,True
BV08TR_0264,train,True
BV08TR_0265,train,True
BV08TR_0266,train,True
BV08TR_0267,train,True
BV08TR_0268,train,True
BV08TR_0269,train,True
BV08TR_0270,train,True
BV08TR_0271,train,True
BV08TR_0272,train,True
BV08TR_0273,train,False
BV08TR_0274,train,True
BV08TR_0275,train,False
BV08TR_0276,train,True
BV08TR_0277,train,True
BV08TR_0278,train,True
BV08TR_0279,train,True
BV08TR_0280,train,True
BV08TR_0281,train,False
BV08TR_0282,train,False
BV08TR_0283,train,False
BV08TR_0284,train,True
BV08TR_0285,train,False
BV08TR_0286,train,False
BV08TR_0287,train,True
BV08TR_0288,train,True
BV08TR_0289,train,True
BV08TR_0290,train,True
BV08TR_0291,train,True
BV08TR_0292,train,True
BV08TR_0293,train,True
BV08TR_0294,train,True
BV08TR_0295,train,True
BV08TR_0296,train,True
BV08TR_0297,train,True
BV08TR_0298,train,True
BV08TR_0299,train,True
BV08TR_0300,train,True
BV08TR_0301,train,False
BV08TR_0302,train,False
BV08TR_0303,train,True
BV08TR_0304,train,False
BV08TR_0305,train,True
BV08TR_0306,train,False
BV08TR_0307,train,False
BV08TR_0308,train,True
BV08TR_0309,train,True
BV08TR_0310,train,True
BV08TR_0311,train,True
BV08TR_0312,train,True
BV08TR_0313,train,False
BV08TR_0314,train,True
BV08TR_0315,train,True
BV08TR_0316,train,True
BV08TR_0317,train,False
BV08TR_0318,train,True
BV08TR_0319,train,True
BV08TR_0320,train,True
BV08VA_0001,validation,True
BV08VA_0002,validation,True
BV08VA_0003,validation,False
BV08VA_0004,validation,False
BV08VA_0005,validation,True
BV08VA_0006,validation,True
BV08VA_0007,validation,False
BV08VA_0008,validation,True
BV08VA_0009,validation,True
BV08VA_0010,validation,True
BV08VA_0011,validation,True
BV08VA_0012,validation,True
BV08VA_0013,validation,False
BV08VA_0014,validation,True
BV08VA_0015,validation,True
BV08VA_0016,validation,True
BV08VA_0017,validation,True
BV08VA_0018,validation,True
BV08VA_0019,validation,True
BV08VA_0020,validation,False
BV08VA_0021,validation,True
BV08VA_0022,validation,True
BV08VA_0023,validation,True
BV08VA_0024,validation,False
BV08VA_0025,validation,True
BV08VA_0026,validation,True
BV08VA_0027,validation,True
BV08VA_0028,validation,True
BV08VA_0029,validation,True
BV08VA_0030,validation,True
BV08VA_0031,validation,True
BV08VA_0032,validation,False
BV08VA_0033,validation,True
BV08VA_0034,validation,True
BV08VA_0035,validation,False
BV08VA_0036,validation,True
BV08VA_0037,validation,True
BV08VA_0038,validation,True
BV08VA_0039,validation,True
BV08VA_0040,validation,True
BV08VA_0041,validation,True
BV08VA_0042,validation,True
BV08VA_0043,validation,True
BV08VA_0044,validation,False
BV08VA_0045,validation,True
BV08VA_0046,validation,True
BV08VA_0047,validation,True
BV08VA_0048,validation,True
BV08VA_0049,validation,True
BV08VA_0050,validation,False
BV08VA_0051,validation,True
BV08VA_0052,validation,True
BV08VA_0053,validation,True
BV08VA_0054,validation,True
BV08VA_0055,validation,True
BV08VA_0056,validation,True
BV08VA_0057,validation,True
BV08VA_0058,validation,True
BV08VA_0059,validation,False
BV08VA_0060,validation,True
BV08VA_0061,validation,False
BV08VA_0062,validation,True
BV08VA_0063,validation,True
BV08VA_0064,validation,True
BV08VA_0065,validation,False
BV08VA_0066,validation,False
BV08VA_0067,validation,True
BV08VA_0068,validation,True
BV08VA_0069,validation,True
BV08VA_0070,validation,True
BV08VA_0071,validation,True
BV08VA_0072,validation,True
BV08VA_0073,validation,True
BV08VA_0074,validation,False
BV08VA_0075,validation,True
BV08VA_0076,validation,True
BV08VA_0077,validation,True
BV08VA_0078,validation,True
BV08VA_0079,validation,True
BV08VA_0080,validation,False
BV08SI_0001,sealed_id,True
BV08SI_0002,sealed_id,True
BV08SI_0003,sealed_id,True
BV08SI_0004,sealed_id,True
BV08SI_0005,sealed_id,True
BV08SI_0006,sealed_id,True
BV08SI_0007,sealed_id,False
BV08SI_0008,sealed_id,True
BV08SI_0009,sealed_id,True
BV08SI_0010,sealed_id,False
BV08SI_0011,sealed_id,True
BV08SI_0012,sealed_id,True
BV08SI_0013,sealed_id,True
BV08SI_0014,sealed_id,True
BV08SI_0015,sealed_id,True
BV08SI_0016,sealed_id,True
BV08SI_0017,sealed_id,True
BV08SI_0018,sealed_id,True
BV08SI_0019,sealed_id,True
BV08SI_0020,sealed_id,True
BV08SI_0021,sealed_id,False
BV08SI_0022,sealed_id,True
BV08SI_0023,sealed_id,True
BV08SI_0024,sealed_id,True
BV08SI_0025,sealed_id,False
BV08SI_0026,sealed_id,True
BV08SI_0027,sealed_id,False
BV08SI_0028,sealed_id,True
BV08SI_0029,sealed_id,True
BV08SI_0030,sealed_id,False
BV08SI_0031,sealed_id,True
BV08SI_0032,sealed_id,True
BV08SI_0033,sealed_id,False
BV08SI_0034,sealed_id,True
BV08SI_0035,sealed_id,True
BV08SI_0036,sealed_id,True
BV08SI_0037,sealed_id,True
BV08SI_0038,sealed_id,True
BV08SI_0039,sealed_id,True
BV08SI_0040,sealed_id,True
BV08SI_0041,sealed_id,True
BV08SI_0042,sealed_id,True
BV08SI_0043,sealed_id,False
BV08SI_0044,sealed_id,True
BV08SI_0045,sealed_id,False
BV08SI_0046,sealed_id,True
BV08SI_0047,sealed_id,True
BV08SI_0048,sealed_id,False
BV08SI_0049,sealed_id,True
BV08SI_0050,sealed_id,True
BV08ST_0001,sealed_ood_temperature,True
BV08ST_0002,sealed_ood_temperature,True
BV08ST_0003,sealed_ood_temperature,True
BV08ST_0004,sealed_ood_temperature,False
BV08ST_0005,sealed_ood_temperature,True
BV08ST_0006,sealed_ood_temperature,True
BV08ST_0007,sealed_ood_temperature,True
BV08ST_0008,sealed_ood_temperature,True
BV08ST_0009,sealed_ood_temperature,False
BV08ST_0010,sealed_ood_temperature,True
BV08ST_0011,sealed_ood_temperature,True
BV08ST_0012,sealed_ood_temperature,True
BV08ST_0013,sealed_ood_temperature,True
BV08ST_0014,sealed_ood_temperature,True
BV08ST_0015,sealed_ood_temperature,True
BV08ST_0016,sealed_ood_temperature,True
BV08ST_0017,sealed_ood_temperature,True
BV08ST_0018,sealed_ood_temperature,True
BV08ST_0019,sealed_ood_temperature,False
BV08ST_0020,sealed_ood_temperature,True
BV08ST_0021,sealed_ood_temperature,True
BV08ST_0022,sealed_ood_temperature,False
BV08ST_0023,sealed_ood_temperature,True
BV08ST_0024,sealed_ood_temperature,False
BV08ST_0025,sealed_ood_temperature,True
BV08SL_0001,sealed_ood_load,True
BV08SL_0002,sealed_ood_load,True
BV08SL_0003,sealed_ood_load,True
BV08SL_0004,sealed_ood_load,True
BV08SL_0005,sealed_ood_load,False
BV08SL_0006,sealed_ood_load,True
BV08SL_0007,sealed_ood_load,True
BV08SL_0008,sealed_ood_load,True
BV08SL_0009,sealed_ood_load,True
BV08SL_0010,sealed_ood_load,True
BV08SL_0011,sealed_ood_load,True
BV08SL_0012,sealed_ood_load,True
BV08SL_0013,sealed_ood_load,True
BV08SL_0014,sealed_ood_load,True
BV08SL_0015,sealed_ood_load,False
BV08SL_0016,sealed_ood_load,True
BV08SL_0017,sealed_ood_load,False
BV08SL_0018,sealed_ood_load,True
BV08SL_0019,sealed_ood_load,False
BV08SL_0020,sealed_ood_load,True
BV08SL_0021,sealed_ood_load,True
BV08SL_0022,sealed_ood_load,True
BV08SL_0023,sealed_ood_load,False
BV08SL_0024,sealed_ood_load,True
BV08SL_0025,sealed_ood_load,True
