unit_id,source_group,archive_member,raw_rows,non_numeric_values_coerced,reference_segments,rejected_reference_segments,role,reason,initial_capacity_ah,last_soh,smoothed_last_soh,eol_efc,valid_reference_curves
ALT26_regular_alt_battery10,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery10.csv,907341,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",8,1,ssl_only_too_few_reference_curves,right_censored_above_relative_soh_0p80,2.454919190833333,0.8386745786193338,0.8386745786193338,,7
ALT26_regular_alt_battery11,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery11.csv,4914864,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",43,0,exact_rul_reference,crosses_relative_soh_0p80,2.4529904701388894,0.7449497987006276,0.7449497987006276,540.8473503305232,43
ALT26_regular_alt_battery20,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery20.csv,207391,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",2,0,ssl_only_too_few_reference_curves,right_censored_above_relative_soh_0p80,2.452375620972222,0.9427858000353817,0.9427858000353817,,2
ALT26_regular_alt_battery21,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery21.csv,530718,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",4,0,ssl_only_too_few_reference_curves,right_censored_above_relative_soh_0p80,2.451327747916667,0.9072189969637873,0.9072189969637873,,4
ALT26_regular_alt_battery22,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery22.csv,2690545,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 46, ""time"": 0, ""voltage_load"": 0}",23,0,exact_rul_reference,crosses_relative_soh_0p80,2.4316658225,0.6901669797141763,0.6901669797141763,363.30295625466755,23
ALT26_regular_alt_battery23,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery23.csv,1344130,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",13,1,censored_soh_and_ssl,right_censored_above_relative_soh_0p80,2.475462227777778,0.8039634545154355,0.8039634545154355,,12
ALT26_regular_alt_battery30,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery30.csv,597316,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 137, ""time"": 0, ""voltage_load"": 0}",4,0,ssl_only_too_few_reference_curves,right_censored_above_relative_soh_0p80,2.4591063806944446,0.886248707230739,0.886248707230739,,4
ALT26_regular_alt_battery31,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery31.csv,3341603,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",27,0,exact_rul_reference,crosses_relative_soh_0p80,2.443547920972226,0.7549359831459694,0.7549359831459694,355.17850354393624,27
ALT26_regular_alt_battery40,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery40.csv,753257,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",6,1,ssl_only_too_few_reference_curves,right_censored_above_relative_soh_0p80,2.4532221948611115,0.8801658563223445,0.8765368305390695,,5
ALT26_regular_alt_battery41,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery41.csv,2926443,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",21,1,exact_rul_reference,crosses_relative_soh_0p80,2.445562119166666,0.7709409807968157,0.7709409807968157,266.5944020374423,20
ALT26_regular_alt_battery50,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery50.csv,791869,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",9,2,ssl_only_too_few_reference_curves,right_censored_above_relative_soh_0p80,2.4470755944444442,0.8467872338943508,0.8413367888521477,,7
ALT26_regular_alt_battery51,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery51.csv,1822787,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",16,1,censored_soh_and_ssl,right_censored_above_relative_soh_0p80,2.4509187886111117,0.8071138273046642,0.8071138273046642,,15
ALT26_regular_alt_battery52,regular_alt_batteries,battery_alt_dataset/regular_alt_batteries/battery52.csv,1510563,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",13,0,censored_soh_and_ssl,right_censored_above_relative_soh_0p80,2.4618681365277775,0.8262853347179168,0.8262853347179168,,13
ALT26_second_life_battery13,second_life_batteries,battery_alt_dataset/second_life_batteries/battery13.csv,1736149,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",17,0,censored_soh_and_ssl,right_censored_above_relative_soh_0p80,1.8242584529166668,0.928447102673977,0.928447102673977,,17
ALT26_second_life_battery36,second_life_batteries,battery_alt_dataset/second_life_batteries/battery36.csv,3394365,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",36,1,censored_soh_and_ssl,right_censored_above_relative_soh_0p80,1.8494880208333333,0.8398518397780464,0.8398518397780464,,35
ALT26_second_life_battery54,second_life_batteries,battery_alt_dataset/second_life_batteries/battery54.csv,1989458,"{""current_load"": 0, ""mission_type"": 0, ""mode"": 0, ""temperature_battery"": 0, ""time"": 0, ""voltage_load"": 0}",18,0,censored_soh_and_ssl,right_censored_above_relative_soh_0p80,1.706033429583333,0.9762370799603227,0.9762370799603227,,18
